内容ID,标题,内容类型,平台,内容赛道,目标人群,内容目标,选题来源,关键词,脚本状态,负责人,计划发布日期,实际发布日期,封面链接,视频链接,CTA类型,CTA关键词,播放量,完播率,点赞评论收藏,私信人数,加群人数,定制咨询数,成交金额,复盘结论,可复用模板,平台数量,主平台,发布状态,发布日期差值天数,点赞数,评论数,收藏数,互动总量,互动率,私信转化率,加群转化率,咨询转化率,千播成交金额,咨询客单金额,数据完整度
CNT-002,零基础用扣子搭一个客服助手（全流程）,长视频,B站,扣子,新手小白,建信任,评论区,"扣子, 客服助手, 实操",写脚本,Finn,2026/02/17,,,,私信关键词,模板,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-003,扣子最容易踩的3个坑,短视频,"抖音, 小红书, 视频号",扣子,新手小白,拉新,评论区,"扣子, 避坑, 新手",待录制,Finn,2026/02/18,,,,评论关键词,避坑,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-004,新AI工具快报1（效率向）,短视频,"抖音, 小红书, 视频号",AI工具,职场提效,涨粉,热点,"AI工具, 快报, 效率",待录制,Finn,2026/02/19,,,,评论关键词,工具,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-005,AIGC实战：从选题到成片的内容流水线,长视频,B站,AIGC,职场提效,转化社群,客户需求,"AIGC, 内容流水线, 实战",写脚本,Finn,2026/02/20,,,,私信关键词,社群,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-006,评论区答疑与下周问题收集,复盘,"B站, 抖音, 小红书, 视频号",变现,新手小白,建信任,复盘发现,"答疑, 复盘, 问题收集",待发布,Finn,2026/02/21,,,,评论关键词,答疑,0,0,0/0/0,0,0,0,0,,否,4,B站,待发布,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-007,直播：下周脚本与封面拆解,直播,B站,变现,副业变现,建信任,复盘发现,"直播, 脚本, 封面",待发布,Finn,2026/02/22,,,,私信关键词,直播,0,0,0/0/0,0,0,0,0,,否,1,B站,待发布,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-008,Vibe Coding是什么，谁适合用,短视频,"抖音, 小红书, 视频号",Vibe Coding,新手小白,拉新,热点,"Vibe Coding, 入门, 人群",待录制,Finn,2026/02/23,,,,评论关键词,Vibe,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-009,不会编程做一个最小可用AI网页工具,长视频,B站,Vibe Coding,新手小白,建信任,评论区,"Vibe Coding, MVP, AI网页",写脚本,Finn,2026/02/24,,,,私信关键词,模板,0,0,0/0/0,0,0,0,0,,否,1,B站,脚本中,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-010,Vibe Coding提示词模板（可套用）,短视频,"抖音, 小红书, 视频号",Vibe Coding,新手小白,拉新,评论区,"提示词模板, Vibe Coding, 套用",待录制,Finn,2026/02/25,,,,评论关键词,提示词,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
CNT-011,新AI工具快报2（创作向）,短视频,"抖音, 小红书, 视频号",AI工具,职场提效,涨粉,热点,"AI工具, 创作, 快报",待录制,Finn,2026/02/26,,,,评论关键词,工具,0,0,0/0/0,0,0,0,0,,否,3,抖音,待录制,,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00,0.00,84.6%
