选题ID,日期,来源类型,选题标题,一级分类,内容赛道,内容类型建议,目标人群,内容目标,热度来源,痛点描述,核心结果承诺,关键词,选题角度,内容大纲,变现钩子,CTA,时效性,难度,评分,优先级,状态,计划周次,关联内容ID,备注
TOP-001,,历史,零基础用扣子搭一个客服助手,扣子,扣子,长视频,新手小白,建信任,评论区,不知道怎么开始搭AI应用,30分钟搭出可演示版本,"扣子, AI客服, 实操",,,,,,,,高,已排期,第1周,CNT-002,
TOP-002,,历史,Vibe Coding做最小可用AI工具,Vibe Coding,Vibe Coding,长视频,新手小白,建信任,热点,不会编程做不了产品,无需写代码上线一个MVP,"Vibe Coding, MVP, AI工具",,,,,,,,高,已排期,第2周,CNT-009,
TOP-003,,历史,扣子最容易踩的3个坑,扣子,扣子,短视频,新手小白,拉新,评论区,做出来不稳定易报错,一次避开常见配置错误,"扣子, 避坑, 新手",,,,,,,,中,已排期,第1周,CNT-003,
TOP-004,,历史,AI接单报价怎么报,变现,变现,短视频,副业变现,拉新,客户需求,不会报价导致单子流失,给出可直接套用报价框架,"AI变现, 报价, 接单",,,,,,,,高,待排期,,,
TOP-005,,历史,AIGC内容质量提升4个参数,AIGC,AIGC,短视频,职场提效,涨粉,热点,生成内容质量不稳定,用固定参数提高稳定性,"AIGC, 参数, 内容质量",,,,,,,,中,已排期,第4周,CNT-022,
AI-20260212-L01,2026-02-12,AI原创,n8n做“选题到发布”自动化内容流水线,AI自动化,AI自动化,长视频,AI小白/提效/变现,转化,热点+需求,日更断档、分发重复,搭出可复用内容流水线,"n8n,内容自动化,分发",用流程替代重复劳动,流程图->节点拆解->风险控制->实测效率,社群模板包+企业分发定制,回复“流水线”领取蓝图,hot,medium,8.7,高,待排期,,,
AI-20260212-L02,2026-02-12,AI原创,n8n vs Coze：副业接单该怎么选,AI自动化,AI自动化,长视频,AI小白/赚钱,建信任,常青+趋势,学了工具却无法交付,给出可执行选型路径,"n8n,coze,选型",按场景而非偏好选工具,选型维度->场景对比->报价影响,社群选型决策树+迁移定制,回复“选型图”获取对照表,evergreen,medium,8.3,高,待排期,,,
AI-20260212-L03,2026-02-12,AI原创,Vibe Coding做可卖小工具：AI脚本拆解器,Vibe Coding,Vibe Coding,长视频,想赚钱的人,转化,趋势,会写代码但不会产品化,7天做出可收费MVP,"vibe coding,MVP,变现",从代码能力转向交付能力,需求定义->MVP功能->收费页->交付边界,社群MVP模板+企业私有化定制,回复“MVP”领取开发清单,hot,high,8.1,中,待排期,,,
AI-20260212-S01,2026-02-12,AI原创,30分钟搭线索自动跟进工作流,AI自动化,AI自动化,短视频,提效/变现,拉新,热点,客资跟进慢漏单,自动触达提升响应率,"n8n,线索跟进,私域",小流程先跑通现金价值,痛点->节点演示->结果,定制线索系统,私信“跟进”领流程图,hot,low,8.4,高,待排期,,,
AI-20260212-S02,2026-02-12,AI原创,Coze做前台，n8n做后台编排,AI自动化,AI自动化,短视频,AI小白/提效,建信任,常青,单工具能力不够,给出混合架构方案,"coze,n8n,架构",不二选一而是组合,架构图->客服场景->成本,混合架构定制,回复“混合架构”,evergreen,medium,7.9,中,待排期,,,
AI-20260212-S03,2026-02-12,AI原创,Vibe Coding提示词升级：先产PRD再写代码,Vibe Coding,Vibe Coding,短视频,开发者/副业,涨粉,趋势,代码能跑但不可维护,提升交付稳定性,"vibe coding,PRD,提示词",把需求约束前置,错误示例->模板改写->结果对比,社群提示词库,评论“PRD模板”,hot,low,8.0,中,待排期,,,
AI-20260212-S04,2026-02-12,AI原创,AIGC电商套图：一套SKU批量出图,AIGC,AIGC,短视频,电商运营,转化,热点,上新素材不足,批量生成提升产能,"AIGC,电商,套图",固定风格与批量流程,素材输入->批量生成->质检,电商素材流水线定制,私信“套图流程”,hot,medium,8.2,高,待排期,,,
